City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Khromtau,50.2503,58.4347,79.86,30,100,4.16,KZ,1658642889
Kosmynino,57.5818,40.7643,74.68,55,0,6.46,RU,1658642889
Hobart,-42.8794,147.3294,59.25,79,75,4.61,AU,1658642709
Albany,42.6001,-73.9662,73.44,70,52,2.82,US,1658642748
Zhigansk,66.7697,123.3711,64.96,59,33,9.75,RU,1658642890
Byron Bay,-28.65,153.6167,62.94,69,48,12.3,AU,1658642876
Bambous Virieux,-20.3428,57.7575,73.65,64,40,11.5,MU,1658642890
Khovd,48.0056,91.6419,74.55,26,32,9.95,MN,1658642890
Atuona,-9.8,-139.0333,77.2,69,20,15.48,PF,1658642891
Valparaíso,-33.0393,-71.6273,52.48,95,100,2.3,CL,1658642781
Paita,-5.0892,-81.1144,62.65,89,16,10.27,PE,1658642891
Mataura,-46.1927,168.8643,45.48,97,6,1.07,NZ,1658642891
Hermanus,-34.4187,19.2345,46.8,72,90,8.77,ZA,1658642892
Kaitangata,-46.2817,169.8464,39.47,83,4,1.63,NZ,1658642892
Port Lincoln,-34.7333,135.8667,60.69,64,98,8.59,AU,1658642892
Santa Marta,11.2408,-74.199,77.2,84,14,13.24,CO,1658642718
Ushuaia,-54.8,-68.3,35.26,75,40,11.5,AR,1658642837
Pasni,25.2631,63.471,82.94,83,100,11.14,PK,1658642893
Paamiut,61.994,-49.6678,42.78,88,4,2.06,GL,1658642893
Clyde River,70.4692,-68.5914,39.45,88,94,1.79,CA,1658642893
Timmins,48.4669,-81.3331,61.21,77,100,4.68,CA,1658642894
Coffs Harbour,-30.3,153.1333,66.16,55,25,12.66,AU,1658642756
Hithadhoo,-0.6,73.0833,81.7,71,99,0.65,MV,1658642894
Padang,-0.9492,100.3543,83.97,78,73,5.21,ID,1658642894
Kimbe,-5.5502,150.1429,88.52,57,70,1.68,PG,1658642895
Hambantota,6.1241,81.1185,87.06,62,93,21.92,LK,1658642771
Udomlya,57.8794,34.9925,69.31,82,73,5.41,RU,1658642895
Poum,-20.2333,164.0167,74.48,71,69,9.57,NC,1658642896
Gobabis,-22.45,18.9667,55.67,44,88,8.63,NA,1658642896
Vaini,-21.2,-175.2,71.76,83,40,6.91,TO,1658642896
Bluff,-46.6,168.3333,45.81,82,13,4.21,NZ,1658642897
Provideniya,64.3833,-173.3,43.16,88,100,7.11,RU,1658642897
Saint Anthony,45.0205,-93.218,70.93,90,0,4.61,US,1658642897
Hyères,43.1167,6.1167,81.73,75,0,1.14,FR,1658642699
Simao,22.7886,100.9748,79.81,61,90,4.16,CN,1658642898
Hong Kong,22.2855,114.1577,89.06,67,1,11.23,HK,1658642835
George Town,5.4112,100.3354,87.73,70,20,5.75,MY,1658642617
Tuktoyaktuk,69.4541,-133.0374,39.65,95,100,10.27,CA,1658642898
Kamina,-8.7386,24.9906,69.4,36,98,5.55,CD,1658642899
Norman Wells,65.282,-126.8329,60.33,59,98,5.77,CA,1658642899
Kavieng,-2.5744,150.7967,85.26,69,47,11.56,PG,1658642899
Nouadhibou,20.931,-17.0347,69.57,96,99,6.89,MR,1658642900
Kapaa,22.0752,-159.319,80.58,77,0,16.11,US,1658642900
Port-Gentil,-0.7193,8.7815,73.36,83,75,3.44,GA,1658642900
Qaanaaq,77.484,-69.3632,38.1,95,100,1.14,GL,1658642901
Cidreira,-30.1811,-50.2056,61.36,98,100,6.33,BR,1658642901
Kjøllefjord,70.9457,27.3465,50.05,93,100,18.41,NO,1658642901
Camargo,27.6667,-105.1667,85.44,32,54,18.9,MX,1658642901
Punta Arenas,-53.15,-70.9167,32.11,86,0,8.05,CL,1658642902
Cape Town,-33.9258,18.4232,53.91,75,0,5.99,ZA,1658642716
Kuandian,40.7286,124.7847,77.9,74,64,3.96,CN,1658642902
Meulaboh,4.1363,96.1285,83.35,74,70,5.17,ID,1658642902
Huarmey,-10.0681,-78.1522,61.39,91,15,6.13,PE,1658642903
Beringovskiy,63.05,179.3167,46.11,73,100,9.62,RU,1658642903
Rikitea,-23.1203,-134.9692,73.45,65,5,6.71,PF,1658642903
Castro,-24.7911,-50.0119,55.29,78,74,3.36,BR,1658642904
Hilo,19.7297,-155.09,76.28,86,100,5.75,US,1658642904
Amapá,1.0,-52.0,70.29,98,77,1.72,BR,1658642904
Sitka,57.0531,-135.33,55.29,88,100,4.61,US,1658642905
Acaraú,-2.8856,-40.12,78.33,82,41,15.88,BR,1658642905
Jamestown,42.097,-79.2353,62.74,96,25,6.96,US,1658642906
Torbay,47.6666,-52.7314,66.58,86,5,5.99,CA,1658642906
Kenai,60.5544,-151.2583,57.25,71,100,0.0,US,1658642906
Vardø,70.3705,31.1107,51.78,82,100,16.11,NO,1658642907
East London,-33.0153,27.9116,56.97,63,62,21.12,ZA,1658642907
Kyren,51.6828,102.1408,68.54,57,100,1.03,RU,1658642907
Saint Andrews,34.0454,-81.1293,78.53,76,0,0.0,US,1658642908
Busselton,-33.65,115.3333,58.14,55,86,7.36,AU,1658642647
Sadská,50.136,14.9863,68.52,64,52,4.79,CZ,1658642908
Noumea,-22.2763,166.4572,75.18,87,100,10.13,NC,1658642908
Tasiilaq,65.6145,-37.6368,41.16,93,70,8.41,GL,1658642909
Narsaq,60.9167,-46.05,48.42,86,61,0.56,GL,1658642909
Katsuura,35.1333,140.3,81.5,75,98,15.23,JP,1658642909
Rostovka,55.3842,71.8891,66.2,44,22,11.95,RU,1658642910
Umeå,63.8284,20.2597,63.91,72,0,3.44,SE,1658642910
Port Blair,11.6667,92.75,85.06,70,62,3.98,IN,1658642910
Salé,34.0389,-6.8166,73.74,100,40,0.0,MA,1658642781
Port Elizabeth,-33.918,25.5701,53.31,91,65,5.99,ZA,1658642911
Ruska Poliana,49.417,31.9201,76.48,51,3,1.39,UA,1658642911
Hasaki,35.7333,140.8333,91.8,76,85,20.18,JP,1658642644
Mehamn,71.0357,27.8492,50.38,87,100,22.97,NO,1658642911
Lata,40.1629,-8.3327,58.35,77,0,1.52,PT,1658642912
Cabo San Lucas,22.8909,-109.9124,80.51,82,94,4.52,MX,1658642912
Mar del Plata,-38.0023,-57.5575,49.08,97,100,1.99,AR,1658642840
Souillac,-20.5167,57.5167,73.78,64,40,11.5,MU,1658642912
Boca do Acre,-8.7522,-67.3978,73.44,88,78,2.75,BR,1658642913
Ribeira Grande,38.5167,-28.7,73.56,86,14,7.63,PT,1658642913
San Quintín,30.4833,-115.95,65.98,85,5,5.23,MX,1658642913
Am Timan,11.0297,20.2827,75.61,88,89,7.85,TD,1658642914
Iqaluit,63.7506,-68.5145,45.7,93,95,1.99,CA,1658642914
Nome,64.5011,-165.4064,50.07,81,100,6.91,US,1658642914
Peniche,39.3558,-9.3811,66.29,89,6,11.65,PT,1658642915
Vila Franca do Campo,37.7167,-25.4333,74.19,92,83,4.41,PT,1658642915
Vao,-22.6667,167.4833,71.62,87,96,10.4,NC,1658642915
Verkhnevilyuysk,63.4453,120.3167,81.28,45,26,10.49,RU,1658642916
Portland,45.5234,-122.6762,68.47,75,0,1.01,US,1658642375
Bredasdorp,-34.5322,20.0403,50.23,72,64,2.26,ZA,1658642916
Ponnāni,10.767,75.9252,82.89,69,100,10.11,IN,1658642897
Hangzhou,30.2937,120.1614,94.91,63,29,4.52,CN,1658642917
Carnarvon,-24.8667,113.6333,67.46,40,10,15.61,AU,1658642917
Itarema,-2.9248,-39.9167,78.67,81,39,15.88,BR,1658642917
Aksarka,66.5606,67.7975,62.94,51,100,11.05,RU,1658642918
Tyubuk,56.0552,60.9405,75.92,46,10,5.99,RU,1658642918
Bose,45.4612,8.0137,77.76,67,11,1.54,IT,1658642918
Los Llanos de Aridane,28.6585,-17.9182,67.75,94,100,9.22,ES,1658642919
Deputatsky,69.3,139.9,65.44,45,21,12.75,RU,1658642919
Sept-Îles,50.2001,-66.3821,58.05,95,52,3.85,CA,1658642919
Cherskiy,68.75,161.3,60.24,44,69,11.52,RU,1658642920
New Norfolk,-42.7826,147.0587,56.19,84,61,0.6,AU,1658642920
Alihe,50.5667,123.7167,79.16,52,45,7.85,CN,1658642920
Malé,4.1748,73.5089,82.49,75,96,12.26,MV,1658642921
Dwārka,22.2394,68.9678,81.9,82,100,19.73,IN,1658642813
Antofagasta,-23.65,-70.4,58.28,86,9,1.97,CL,1658642921
Geraldton,-28.7667,114.6,64.81,55,40,9.22,AU,1658642921
Yar-Sale,66.8333,70.8333,49.42,85,100,20.13,RU,1658642922
Praia da Vitória,38.7333,-27.0667,71.76,97,16,3.85,PT,1658642922
Plettenberg Bay,-34.0527,23.3716,52.72,79,97,6.49,ZA,1658642922
Butaritari,3.0707,172.7902,82.38,75,25,18.59,KI,1658642923
Puerto Escondido,15.85,-97.0667,79.54,84,99,3.2,MX,1658642923
Chokurdakh,70.6333,147.9167,69.1,30,89,11.03,RU,1658642923
Manaure,11.7751,-72.4445,77.9,84,0,9.55,CO,1658642924
Chui,-33.6971,-53.4616,58.06,97,100,5.84,UY,1658642924
Hettstedt,51.65,11.5,67.87,58,9,4.07,DE,1658642925
Mahébourg,-20.4081,57.7,73.69,64,40,11.5,MU,1658642925
Pudozh,61.8099,36.5345,66.63,87,69,6.29,RU,1658642925
Strezhevoy,60.7333,77.5889,49.57,96,100,10.96,RU,1658642926
Tiksi,71.6872,128.8694,46.49,74,65,7.67,RU,1658642926
Saskylakh,71.9167,114.0833,70.63,50,27,3.94,RU,1658642926
Soskovo,52.7475,35.3828,72.01,67,0,5.35,RU,1658642927
Zheleznodorozhnyy,55.7503,38.0042,76.48,51,3,2.91,RU,1658642927
San Cristobal,7.7669,-72.225,64.6,86,6,1.43,VE,1658642927
Seymchan,62.8833,152.4333,75.51,35,3,14.32,RU,1658642928
Road Town,18.4167,-64.6167,75.29,74,2,21.5,VG,1658642673
Ust-Nera,64.5667,143.2,65.16,76,100,9.1,RU,1658642928
Mossamedes,-15.1961,12.1522,61.84,92,3,1.59,AO,1658642928
Gouré,13.9835,10.2704,78.03,60,34,8.75,NE,1658642929
Saint-Joseph,-21.3667,55.6167,74.21,77,58,10.47,RE,1658642929
Lompoc,34.6391,-120.4579,57.52,88,100,15.01,US,1658642929
Airai,-8.9266,125.4092,69.33,50,29,3.53,TL,1658642930
Pisco,-13.7,-76.2167,60.85,82,100,5.75,PE,1658642930
Kousséri,12.0769,15.0306,78.31,71,93,11.5,CM,1658642930
Esperance,-33.8667,121.9,56.77,56,82,21.12,AU,1658642931
Asău,46.4333,26.4,82.96,59,27,2.17,RO,1658642931
La Solana,38.9442,-3.2381,62.8,17,0,5.28,ES,1658642931
Aklavik,68.2191,-135.0107,43.32,87,99,10.76,CA,1658642932
Waingapu,-9.6567,120.2641,83.07,47,22,16.69,ID,1658642932
Port Alfred,-33.5906,26.891,57.96,69,79,19.51,ZA,1658642932
Karratha,-20.7377,116.8463,77.94,25,0,4.99,AU,1658642933
Morón,-34.6534,-58.6198,57.13,99,47,5.23,AR,1658642933
Alofi,-19.0595,-169.9187,73.8,60,94,20.2,NU,1658642933
Arlit,18.7369,7.3853,90.09,32,37,1.81,NE,1658642934
Puerto Ayora,-0.7393,-90.3518,69.55,92,58,5.01,EC,1658642867
Kiama,-34.6833,150.8667,60.6,78,13,5.14,AU,1658642904
Bengkulu,-3.8004,102.2655,83.01,71,100,4.38,ID,1658642934
Alice Springs,-23.7,133.8833,81.95,12,0,12.66,AU,1658642718
Nhulunbuy,-12.2333,136.7667,83.01,61,92,11.5,AU,1658642935
Anchorage,61.2181,-149.9003,59.68,64,0,13.0,US,1658642860
Iralaya,15.0,-83.2333,78.76,85,89,6.98,HN,1658642935
Kodinsk,58.6881,99.1844,71.76,42,96,4.7,RU,1658642935
Klaksvík,62.2266,-6.589,52.72,91,99,25.21,FO,1658642936
Belmonte,-15.8631,-38.8828,70.5,80,88,7.16,BR,1658642936
Cody,44.5263,-109.0565,66.65,52,0,3.44,US,1658642701
Westport,41.1415,-73.3579,79.18,87,0,4.61,US,1658642838
Khatanga,71.9667,102.5,80.87,38,29,11.41,RU,1658642936
Ponta Delgada,37.7333,-25.6667,74.5,88,75,2.3,PT,1658642937
Saint George,37.1041,-113.5841,89.64,33,0,12.66,US,1658642937
Daru,-9.0763,143.2092,77.74,87,94,15.57,PG,1658642937
Arraial do Cabo,-22.9661,-42.0278,70.54,86,10,22.68,BR,1658642938
Yerbogachën,61.2767,108.0108,78.33,52,73,8.99,RU,1658642938
La Palma,33.8464,-118.0467,72.41,85,75,4.61,US,1658642938
Port Hardy,50.6996,-127.4199,55.36,89,40,10.78,CA,1658642939
Dikson,73.5069,80.5464,49.5,71,100,15.7,RU,1658642939
El Campo,29.1966,-96.2697,82.78,94,0,0.0,US,1658642939
Wawa,9.9022,4.4192,71.15,95,100,4.92,NG,1658642940
Avarua,-21.2078,-159.775,69.85,60,40,4.61,CK,1658642940
Caravelas,-17.7125,-39.2481,68.59,78,21,3.67,BR,1658642940
Isla Mujeres,21.2311,-86.731,81.75,84,98,10.71,MX,1658642941
Stephenville,32.2207,-98.2023,86.81,47,40,6.91,US,1658642941
Daugavpils,55.8833,26.5333,59.88,98,100,2.15,LV,1658642941
Peace River,56.2501,-117.286,62.49,67,100,3.33,CA,1658642941
Thompson,55.7435,-97.8558,53.15,68,100,5.68,CA,1658642942
Sunrise Manor,36.2111,-115.0731,92.3,27,70,5.75,US,1658642942
Corrente,-3.7367,-43.3394,75.72,78,98,2.66,BR,1658642942
Nuuk,64.1835,-51.7216,45.21,93,100,11.5,GL,1658642943
Wagga Wagga,-35.1167,147.3667,63.84,65,84,0.67,AU,1658642943
Konče,41.4958,22.385,80.91,24,1,4.68,MK,1658642943
Upata,8.0086,-62.3989,74.19,98,54,3.85,VE,1658642944
Jimaní,18.4917,-71.8502,78.69,81,81,0.92,DO,1658642944
Lebyazh'ye,55.2689,66.4947,70.81,51,62,8.48,RU,1658642944
Olafsvik,64.8945,-23.7142,51.93,79,74,5.55,IS,1658642945
Mtwara,-10.2667,40.1833,74.37,70,42,7.43,TZ,1658642945
Santa Maria,-29.6842,-53.8069,66.0,90,100,4.41,BR,1658642913
Faanui,-16.4833,-151.75,79.27,74,9,12.77,PF,1658642945
Kitimat,54.0524,-128.6534,63.91,51,100,4.14,CA,1658642946
Mutum,-19.8,-41.4383,60.76,95,4,1.88,BR,1658642946
Srednekolymsk,67.45,153.6833,74.1,24,6,11.65,RU,1658642947
Yangshe,31.8899,120.6052,91.99,57,6,5.06,CN,1658642947
Dali,25.7,100.1833,73.89,70,85,2.33,CN,1658642947
Merritt,50.1123,-120.7942,63.81,60,14,1.28,CA,1658642948
Yudong,29.385,106.5194,91.35,59,92,0.89,CN,1658642948
Doka,13.5167,35.7667,71.28,90,100,11.83,SD,1658642948
Buta,2.7858,24.73,70.61,96,94,0.83,CD,1658642949
Necochea,-38.5473,-58.7368,50.05,92,99,7.4,AR,1658642949
Nanortalik,60.1432,-45.2371,43.95,90,100,7.45,GL,1658642949
Severo-Kuril'sk,50.6789,156.125,56.12,91,99,4.65,RU,1658642950
Talnakh,69.4865,88.3972,72.86,51,100,3.15,RU,1658642950
Duvan,55.695,57.9024,75.02,56,31,2.46,RU,1658642950
Kamiiso,41.8167,140.65,75.13,70,98,7.49,JP,1658642951
Yining,29.0361,114.5636,93.74,57,92,3.96,CN,1658642951
Greenfield,42.9614,-88.0126,70.11,92,100,14.97,US,1658642951
San Antonio,29.4241,-98.4936,83.25,72,0,17.27,US,1658642840
Bathsheba,13.2167,-59.5167,81.21,87,20,17.27,BB,1658642952
Avera,33.194,-82.5271,77.05,75,2,5.17,US,1658642952
Saint Paul Harbor,57.79,-152.4072,51.31,100,100,20.71,US,1658642952
Port Hedland,-20.3167,118.5667,80.65,24,0,9.22,AU,1658642953
Nakhon Sawan,15.7,100.0833,88.92,62,99,4.34,TH,1658642953
Kugul'ta,45.3636,42.3889,66.78,55,23,15.77,RU,1658642953
Ilulissat,69.2167,-51.1,38.79,98,100,2.48,GL,1658642954
Nantucket,41.2835,-70.0995,77.05,77,100,4.61,US,1658642686
Ketchikan,55.3422,-131.6461,57.67,88,100,9.22,US,1658642954
Camaná,-16.6228,-72.7111,58.95,88,64,6.69,PE,1658642954
Micheweni,-4.9667,39.8333,77.43,69,40,14.14,TZ,1658642955
Longyearbyen,78.2186,15.6401,46.24,93,75,8.05,SJ,1658642955
Yashkino,55.8736,85.4265,59.61,85,100,7.58,RU,1658642955
Hope,33.6671,-93.5916,84.25,65,9,6.06,US,1658642956
Ust-Maya,60.4167,134.5333,82.4,35,5,7.07,RU,1658642956
Serebryansk,49.6925,83.2892,74.17,44,87,1.63,KZ,1658642956
Masuguru,-11.3667,38.4167,73.42,65,15,4.99,TZ,1658642957
Turukhansk,65.8167,87.9833,59.07,97,100,10.96,RU,1658642957
El Alto,-4.2714,-81.2147,63.81,79,32,14.56,PE,1658642957
Kulhudhuffushi,6.6221,73.07,81.59,75,41,12.77,MV,1658642958
Juneau,58.3019,-134.4197,55.22,98,100,11.5,US,1658642830
Palauig,15.435,119.9045,86.23,74,95,4.88,PH,1658642958
Bonavista,48.6499,-53.1147,62.19,92,3,10.33,CA,1658642958
Flinders,-34.5833,150.8552,66.18,70,13,3.0,AU,1658642959
Sterling,39.0062,-77.4286,75.78,89,100,4.61,US,1658642831
Ternate,0.8,127.4,84.04,73,27,10.11,ID,1658642936
Yeppoon,-23.1333,150.7333,73.18,75,0,7.61,AU,1658642959
Marfino,55.7028,37.3822,77.34,52,0,4.47,RU,1658642960
Hobyo,5.3505,48.5268,80.58,65,69,24.7,SO,1658642960
Saldanha,-33.0117,17.9442,47.52,73,0,9.66,ZA,1658642960
São João da Barra,-21.6403,-41.0511,70.59,85,2,12.97,BR,1658642961
Saint-Pierre,-21.3393,55.4781,71.51,71,64,7.94,RE,1658642961
Neuquén,-38.9516,-68.0591,51.91,60,100,5.01,AR,1658642908
Biltine,14.5333,20.9167,82.2,62,13,7.02,TD,1658642961
Larap,14.299,122.6504,87.58,67,100,6.87,PH,1658642962
Vestmanna,62.1564,-7.1664,50.92,71,75,2.3,FO,1658642962
Muros,42.7762,-9.0603,59.09,89,4,4.23,ES,1658642962
Sørland,67.667,12.6934,53.46,74,89,9.1,NO,1658642963
Mount Isa,-20.7333,139.5,80.4,25,0,7.94,AU,1658642963
Saint-Orens-de-Gameville,43.554,1.5341,71.24,88,0,3.44,FR,1658642963
Masindi,1.6744,31.715,69.37,72,87,1.92,UG,1658642964
Cockburn Town,21.4612,-71.1419,81.21,77,32,20.83,TC,1658642964
Husavik,66.0449,-17.3389,46.29,92,100,1.61,IS,1658642964
San Patricio,28.017,-97.5169,84.83,80,23,14.29,US,1658642965
Townsville,-19.25,146.8,72.48,64,44,12.66,AU,1658642965
Conceição do Araguaia,-8.2578,-49.2647,70.88,51,18,2.77,BR,1658642965
Isangel,-19.55,169.2667,78.37,84,3,7.38,VU,1658642966
Riyadh,24.6877,46.7219,104.14,14,88,10.49,SA,1658642928
Porbandar,21.6422,69.6093,82.0,80,100,19.51,IN,1658642966
Chara,56.9064,118.2631,82.11,40,41,10.16,RU,1658642966
Svobodnyy,51.4,128.1333,82.54,45,36,3.42,RU,1658642967
Kruisfontein,-34.0033,24.7314,48.88,86,83,9.98,ZA,1658642967
Ladário,-19.0047,-57.6017,70.88,49,84,1.57,BR,1658642967
Codrington,-38.2667,141.9667,61.74,72,41,9.42,AU,1658642968
Umluj,25.0213,37.2685,88.29,57,74,11.88,SA,1658642968
Longyan,25.1072,117.0225,99.36,31,0,5.01,CN,1658642968
Nevel',56.0209,29.9284,68.0,78,65,4.85,RU,1658642969
Garoowe,8.4054,48.4845,81.18,48,71,31.41,SO,1658642969
Corner Brook,48.9667,-57.9484,60.64,91,0,4.32,CA,1658642751
Ahipara,-35.1667,173.1667,57.22,92,100,21.83,NZ,1658642969
Saint-Philippe,-21.3585,55.7679,75.22,80,69,10.94,RE,1658642970
Velikodvorskiy,55.25,40.6678,76.37,57,20,4.14,RU,1658642970
Brae,60.3964,-1.353,54.36,96,100,23.69,GB,1658642970
Sinnamary,5.3833,-52.95,77.11,87,96,7.45,GF,1658642971
Tartous,34.889,35.8866,84.42,54,0,6.13,SY,1658642971
Uruaçu,-14.5247,-49.1408,67.03,50,6,4.27,BR,1658642971
Kanlagay,5.8757,121.2915,83.05,76,41,6.46,PH,1658642972
Aras,42.5617,-2.356,59.41,82,0,0.0,ES,1658642972
Malakal,9.5334,31.6605,71.8,93,100,3.91,SS,1658642972
Vila Velha,-20.3297,-40.2925,67.95,91,0,0.0,BR,1658642973
Zhezkazgan,47.8043,67.7144,85.98,20,0,11.18,KZ,1658642973
Okato,-39.2,173.8833,49.68,73,100,8.9,NZ,1658642973
Il’inskiy,55.619,38.1182,77.38,62,0,4.0,RU,1658642974
Yulara,-25.2406,130.9889,82.24,18,0,21.85,AU,1658642974
